statement_date,filename,sentence_id,text,char_length,word_count
1/31/2024,fomc_2024_01_31_statement.txt,0,Recent indicators suggest that economic activity has been expanding at a solid pace,83,13
1/31/2024,fomc_2024_01_31_statement.txt,1,"Job gains have moderated since early last year but remain strong, and the unemployment rate has remained low",108,18
1/31/2024,fomc_2024_01_31_statement.txt,2,Inflation has eased over the past year but remains elevated,59,10
1/31/2024,fomc_2024_01_31_statement.txt,3,The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run,108,19
1/31/2024,fomc_2024_01_31_statement.txt,4,The Committee judges that the risks to achieving its employment and inflation goals are moving into better balance,114,18
1/31/2024,fomc_2024_01_31_statement.txt,5,"The economic outlook is uncertain, and the Committee remains highly attentive to inflation risks",96,14
1/31/2024,fomc_2024_01_31_statement.txt,6,"In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent",128,23
1/31/2024,fomc_2024_01_31_statement.txt,7,"In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks",176,28
1/31/2024,fomc_2024_01_31_statement.txt,8,The Committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent,172,28
1/31/2024,fomc_2024_01_31_statement.txt,9,"In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans",187,26
1/31/2024,fomc_2024_01_31_statement.txt,10,The Committee is strongly committed to returning inflation to its 2 percent objective,85,13
1/31/2024,fomc_2024_01_31_statement.txt,11,"In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook",160,23
1/31/2024,fomc_2024_01_31_statement.txt,12,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals,160,26
1/31/2024,fomc_2024_01_31_statement.txt,13,"The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",220,28
3/20/2024,fomc_2024_03_20_statement.txt,0,Recent indicators suggest that economic activity has been expanding at a solid pace,83,13
3/20/2024,fomc_2024_03_20_statement.txt,1,"Job gains have remained strong, and the unemployment rate has remained low",74,12
3/20/2024,fomc_2024_03_20_statement.txt,2,Inflation has eased over the past year but remains elevated,59,10
3/20/2024,fomc_2024_03_20_statement.txt,3,The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run,108,19
3/20/2024,fomc_2024_03_20_statement.txt,4,The Committee judges that the risks to achieving its employment and inflation goals are moving into better balance,114,18
3/20/2024,fomc_2024_03_20_statement.txt,5,"The economic outlook is uncertain, and the Committee remains highly attentive to inflation risks",96,14
3/20/2024,fomc_2024_03_20_statement.txt,6,"In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent",128,23
3/20/2024,fomc_2024_03_20_statement.txt,7,"In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks",176,28
3/20/2024,fomc_2024_03_20_statement.txt,8,The Committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent,172,28
3/20/2024,fomc_2024_03_20_statement.txt,9,"In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans",187,26
3/20/2024,fomc_2024_03_20_statement.txt,10,The Committee is strongly committed to returning inflation to its 2 percent objective,85,13
3/20/2024,fomc_2024_03_20_statement.txt,11,"In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook",160,23
3/20/2024,fomc_2024_03_20_statement.txt,12,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals,160,26
3/20/2024,fomc_2024_03_20_statement.txt,13,"The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",220,28
5/1/2024,fomc_2024_05_01_statement.txt,0,Recent indicators suggest that economic activity has continued to expand at a solid pace,88,14
5/1/2024,fomc_2024_05_01_statement.txt,1,"Job gains have remained strong, and the unemployment rate has remained low",74,12
5/1/2024,fomc_2024_05_01_statement.txt,2,Inflation has eased over the past year but remains elevated,59,10
5/1/2024,fomc_2024_05_01_statement.txt,3,"In recent months, there has been a lack of further progress toward the Committee's 2 percent inflation objective",112,18
5/1/2024,fomc_2024_05_01_statement.txt,4,The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run,108,19
5/1/2024,fomc_2024_05_01_statement.txt,5,The Committee judges that the risks to achieving its employment and inflation goals have moved toward better balance over the past year,135,22
5/1/2024,fomc_2024_05_01_statement.txt,6,"The economic outlook is uncertain, and the Committee remains highly attentive to inflation risks",96,14
5/1/2024,fomc_2024_05_01_statement.txt,7,"In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent",128,23
5/1/2024,fomc_2024_05_01_statement.txt,8,"In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks",176,28
5/1/2024,fomc_2024_05_01_statement.txt,9,The Committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent,172,28
5/1/2024,fomc_2024_05_01_statement.txt,10,"In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage鈥慴acked securities",139,19
5/1/2024,fomc_2024_05_01_statement.txt,11,"Beginning in June, the Committee will slow the pace of decline of its securities holdings by reducing the monthly redemption cap on Treasury securities from $60 billion to $25 billion",183,30
5/1/2024,fomc_2024_05_01_statement.txt,12,The Committee will maintain the monthly redemption cap on agency debt and agency mortgage鈥慴acked securities at $35 billion and will reinvest any principal payments in excess of this cap into Treasury securities,210,32
5/1/2024,fomc_2024_05_01_statement.txt,13,The Committee is strongly committed to returning inflation to its 2 percent objective,85,13
5/1/2024,fomc_2024_05_01_statement.txt,14,"In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook",160,23
5/1/2024,fomc_2024_05_01_statement.txt,15,The Committee would be prepared to adjust the stance of monetary policy as appropriate if ris,93,16
